Concept,Concept ID,Parent,Publications 2018,Publications 2019,Publications 2020,Publications 2021,Publications 2022,Publications 2023,Publications 2024
Automated planning and scheduling,https://openalex.org/C114073186,Artificial Intelligence,96,90,93,114,70,104,20
Game theory,https://openalex.org/C177142836,Artificial Intelligence,4599,4564,4536,4688,4268,4576,2571
Genetic algorithm,https://openalex.org/C8880873,Artificial Intelligence,7112,7339,7684,8160,8179,8016,4070
Applications of artificial intelligence,https://openalex.org/C157170001,Artificial Intelligence,255,443,722,931,931,1411,591
Multi-agent system,https://openalex.org/C41550386,Artificial Intelligence,2179,2356,2317,2361,2420,2630,1774
Reinforcement learning,https://openalex.org/C97541855,Artificial Intelligence,5551,8921,11953,14868,15251,19016,11473
Chatbot,https://openalex.org/C2779041454,Artificial Intelligence,557,953,1264,1414,1568,2660,1938
Computational linguistics,https://openalex.org/C155092808,Artificial Intelligence,513,624,300,1228,524,516,133
Embodied cognition,https://openalex.org/C100609095,Artificial Intelligence,4441,4639,4962,5401,5010,5109,2316
Information theory,https://openalex.org/C52622258,Artificial Intelligence,601,662,580,656,546,581,234
Prolog,https://openalex.org/C81721847,Artificial Intelligence,151,153,127,140,88,136,61
Sentience,https://openalex.org/C2780865100,Artificial Intelligence,141,154,166,155,216,248,94
Semantic Web,https://openalex.org/C2129575,Artificial Intelligence,3219,2864,2600,2352,2089,2145,745
Logic programming,https://openalex.org/C128838566,Artificial Intelligence,299,286,311,279,203,242,84
Machine translation,https://openalex.org/C203005215,Artificial Intelligence,2386,2777,3546,3686,2886,3513,1504
Simulated reality,https://openalex.org/C116281135,Artificial Intelligence,5,6,10,13,6,9,1
Artificial life,https://openalex.org/C19273510,Artificial Intelligence,147,128,129,159,136,151,89
Lisp,https://openalex.org/C190883126,Artificial Intelligence,71,56,52,42,57,36,5
Heuristic,https://openalex.org/C173801870,Artificial Intelligence,7117,7434,7940,8473,7646,7886,2746
Time travel,https://openalex.org/C57482682,Artificial Intelligence,108,96,104,84,61,90,77
"Artificial intelligence, situated approach",https://openalex.org/C207453521,Artificial Intelligence,56,64,113,91,96,95,30
Fuzzy logic,https://openalex.org/C58166,Artificial Intelligence,18636,19644,19941,20492,18927,19420,12472
Evolutionary algorithm,https://openalex.org/C159149176,Artificial Intelligence,2253,2388,2417,2444,2416,2562,1360
Computer simulation,https://openalex.org/C500300565,Artificial Intelligence,4280,4414,4319,4670,4439,4510,2510
Evolutionary computation,https://openalex.org/C105902424,Artificial Intelligence,768,770,729,688,700,731,441
Computational neuroscience,https://openalex.org/C15286952,Artificial Intelligence,187,210,231,209,255,256,122
Predictive analytics,https://openalex.org/C83209312,Artificial Intelligence,535,655,659,675,609,776,773
Computational intelligence,https://openalex.org/C139502532,Artificial Intelligence,1036,1197,1383,1522,1710,1188,1415
Frame rate,https://openalex.org/C3261483,Artificial Intelligence,1049,1117,1165,1265,1336,1397,307
Information science,https://openalex.org/C95831776,Artificial Intelligence,493,425,368,333,241,253,116
Automated reasoning,https://openalex.org/C195344581,Artificial Intelligence,119,90,78,80,74,131,50
Software agent,https://openalex.org/C5894958,Artificial Intelligence,56,53,49,39,26,29,10
Automated theorem proving,https://openalex.org/C206880738,Artificial Intelligence,411,300,298,314,216,291,93
Nanorobotics,https://openalex.org/C187911381,Artificial Intelligence,120,103,133,171,188,228,152
Immortality,https://openalex.org/C2779227060,Artificial Intelligence,414,384,407,374,367,374,137
Statistical classification,https://openalex.org/C110083411,Artificial Intelligence,770,935,998,1251,1356,1430,480
