year,field_id,count,keyword
2022,https://openalex.org/fields/32,0,Artificial Intelligence Technology
2022,https://openalex.org/fields/36,0,Artificial Intelligence Technology
2022,https://openalex.org/fields/16,0,Artificial Intelligence Technology
2022,https://openalex.org/fields/19,0,Artificial Intelligence Technology
2022,https://openalex.org/fields/28,0,Artificial Intelligence Technology
2022,https://openalex.org/fields/26,0,Artificial Intelligence Technology
2022,https://openalex.org/fields/24,0,Artificial Intelligence Technology
2022,https://openalex.org/fields/18,0,Artificial Intelligence Technology
2022,https://openalex.org/fields/21,0,Artificial Intelligence Technology
2022,https://openalex.org/fields/29,0,Artificial Intelligence Technology
2022,https://openalex.org/fields/30,0,Artificial Intelligence Technology
2022,https://openalex.org/fields/35,0,Artificial Intelligence Technology
2022,https://openalex.org/fields/15,0,Artificial Intelligence Technology
2022,https://openalex.org/fields/34,0,Artificial Intelligence Technology
2023,https://openalex.org/fields/33,2,Artificial Intelligence Technology
2023,https://openalex.org/fields/27,0,Artificial Intelligence Technology
2023,https://openalex.org/fields/22,0,Artificial Intelligence Technology
2023,https://openalex.org/fields/12,0,Artificial Intelligence Technology
2023,https://openalex.org/fields/17,0,Artificial Intelligence Technology
2023,https://openalex.org/fields/13,0,Artificial Intelligence Technology
2023,https://openalex.org/fields/11,0,Artificial Intelligence Technology
2023,https://openalex.org/fields/23,0,Artificial Intelligence Technology
2023,https://openalex.org/fields/31,0,Artificial Intelligence Technology
2023,https://openalex.org/fields/25,0,Artificial Intelligence Technology
2023,https://openalex.org/fields/14,0,Artificial Intelligence Technology
2023,https://openalex.org/fields/20,0,Artificial Intelligence Technology
2023,https://openalex.org/fields/32,0,Artificial Intelligence Technology
2023,https://openalex.org/fields/36,0,Artificial Intelligence Technology
2023,https://openalex.org/fields/16,0,Artificial Intelligence Technology
2023,https://openalex.org/fields/19,0,Artificial Intelligence Technology
2023,https://openalex.org/fields/28,0,Artificial Intelligence Technology
2023,https://openalex.org/fields/26,0,Artificial Intelligence Technology
2023,https://openalex.org/fields/24,0,Artificial Intelligence Technology
2023,https://openalex.org/fields/18,0,Artificial Intelligence Technology
2023,https://openalex.org/fields/21,0,Artificial Intelligence Technology
2023,https://openalex.org/fields/29,0,Artificial Intelligence Technology
2023,https://openalex.org/fields/30,0,Artificial Intelligence Technology
2023,https://openalex.org/fields/35,0,Artificial Intelligence Technology
2023,https://openalex.org/fields/15,0,Artificial Intelligence Technology
2023,https://openalex.org/fields/34,0,Artificial Intelligence Technology
2024,https://openalex.org/fields/27,0,Artificial Intelligence Technology
2024,https://openalex.org/fields/33,0,Artificial Intelligence Technology
2024,https://openalex.org/fields/22,0,Artificial Intelligence Technology
2024,https://openalex.org/fields/12,0,Artificial Intelligence Technology
2024,https://openalex.org/fields/17,0,Artificial Intelligence Technology
2024,https://openalex.org/fields/13,0,Artificial Intelligence Technology
2024,https://openalex.org/fields/11,0,Artificial Intelligence Technology
